shoe,price,links,date,source
New Balance 550 Salt and Pepper,A$196,www.stockx.com/new-balance-550-salt-and-papper,18/10/2022,StockX
adidas Yeezy 700 V3 Fade Salt,A$325,www.stockx.com/adidas-yeezy-700-v3-fade-salt,18/10/2022,StockX
Jordan 11 Retro Low 72-10,A$270,www.stockx.com/air-jordan-11-retro-low-72-10,18/10/2022,StockX
Jordan 12 Retro Stealth,A$283,www.stockx.com/air-jordan-12-retro-stealth,18/10/2022,StockX
Jordan 1 Retro High OG Dark Marina Blue,A$234,www.stockx.com/air-jordan-1-retro-high-og-dark-marina-blue,18/10/2022,StockX
Nike Dunk Low Valerian Blue,A$297,www.stockx.com/nike-dunk-low-valerian-blue,18/10/2022,StockX
Nike React Phantom Run Flyknit 2 White Glacier Blue,A$190,www.stockx.com/nike-react-phantom-run-flyknit-white-glacier-blue,18/10/2022,StockX
Jordan 1 Low SE Homage Split White Black (W),A$174,www.stockx.com/air-jordan-1-low-se-homage-white-black-w,18/10/2022,StockX
Jordan 1 Retro High OG Heirloom,A$238,www.stockx.com/air-jordan-1-retro-high-og-heirloom,18/10/2022,StockX
adidas Yeezy Foam RNNR Stone Sage,A$258,www.stockx.com/adidas-yeezy-foam-rnnr-stone-sage,18/10/2022,StockX
New Balance 550 Cream Black,A$259,www.stockx.com/new-balance-550-cream-black,18/10/2022,StockX
Jordan 1 Mid University Blue Grey,A$266,www.stockx.com/air-jordan-1-mid-university-blue-grey,18/10/2022,StockX
Nike Dunk Low Next Nature Lilac (W),A$273,www.stockx.com/nike-dunk-low-next-nature-lilac-w,18/10/2022,StockX
Nike Air Max 1 Crepe Hemp (2022),A$206,www.stockx.com/nike-air-max-1-crepe-medium-brown-mint-foam-mushroom-muslin,18/10/2022,StockX
adidas Samba Vegan White Gum,A$165,www.stockx.com/adidas-samba-vegan-white-gum,18/10/2022,StockX
adidas Yeezy Slide Glow Green (2022) (Restock),A$145,www.stockx.com/adidas-yeezy-slide-glow-green-2022,18/10/2022,StockX
Jordan 1 Retro High OG Stealth,A$222,www.stockx.com/air-jordan-1-retro-high-og-stealth,18/10/2022,StockX
Nike Dunk Low Certified Fresh,A$207,www.stockx.com/nike-dunk-low-certified-fresh,18/10/2022,StockX
Jordan 3 Retro Winterized Archaeo Brown,A$294,www.stockx.com/jodan-3-retro-winterized-archaeo-brown,18/10/2022,StockX
Nike Dunk Low Next Nature Phantom (W),A$171,www.stockx.com/nike-dunk-low-next-nature-light-curry-w,18/10/2022,StockX
adidas ADI2000 Yu-Gi-Oh! Blue Eyes White Dragon,A$211,www.stockx.com/adidas-adi2000-yu-gi-oh-blue-eyes-white-dragon,18/10/2022,StockX
adidas Yeezy 700 V3 Azael,A$374,www.stockx.com/adidas-yeezy-boost-700-v3-azael,18/10/2022,StockX
Nike SB Dunk Low Crushed D.C.,A$276,www.stockx.com/nike-sb-dunk-low-crushed-dc,18/10/2022,StockX
New Balance 2002R Protection Pack Mirage Grey,A$220,www.stockx.com/new-balance-2002r-protection-pack-mirage-grey,18/10/2022,StockX
Nike Dunk Low Triple White (2021) (W),A$182,www.stockx.com/nike-dunk-low-triple-white-2021-w,18/10/2022,StockX
Jordan 3 Retro Fire Red (2022) (GS),A$196,www.stockx.com/air-jordan-3-retro-fire-red-2022-gs,18/10/2022,StockX
Jordan 5 Retro Dark Concord,A$244,www.stockx.com/air-jordan-5-retro-concord,18/10/2022,StockX
Nike Dunk Low Dark Driftwood (W),A$180,www.stockx.com/nike-dunk-low-dark-driftwood-w,18/10/2022,StockX
New Balance 2002R Protection Pack Rain Cloud,A$374,www.stockx.com/new-balance-m2002-protection-pack-rain-cloud,18/10/2022,StockX
Nike Dunk Low Clark Atlanta University,A$421,www.stockx.com/nike-dunk-low-clark-atlanta-university,18/10/2022,StockX
adidas Yeezy Boost 700 Wave Runner,A$576,www.stockx.com/adidas-yeezy-wave-runner-700-solid-grey,18/10/2022,StockX
Jordan 4 Retro Military Black (GS),A$345,www.stockx.com/air-jordan-4-retro-military-black-gs,18/10/2022,StockX
Jordan 2 Retro Low Two 18,A$433,www.stockx.com/air-jordan-2-retro-low-two-18,18/10/2022,StockX
Nike Dunk Low Chlorophyll,A$218,www.stockx.com/nike-dunk-low-chlorophyll,18/10/2022,StockX
